,svc_name,src_cid,dst_cid,call_size,max_load,min_load,observed_x,observed_y,coef,min_compute_latency,endpoint,method,url
"('sslateingress@POST@/multicore#us-south-1#start', 'sslateingress@POST@/multicore#us-south-1#end')",sslateingress,us-south-1,us-south-1,0,100000,0,,,"{'sslateingress@POST@/multicore': 1.8545858800198172e-06, 'intercept': 3.115396051809149}",0,sslateingress@POST@/multicore,POST,/multicore
"('sslateingress@POST@/singlecore#us-south-1#start', 'sslateingress@POST@/singlecore#us-south-1#end')",sslateingress,us-south-1,us-south-1,0,100000,0,,,"{'sslateingress@POST@/singlecore': 0.0001776010064601, 'intercept': 1.82261443113976}",0,sslateingress@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/singlecore#us-south-1#start', 'corecontrast@POST@/singlecore#us-south-1#end')",corecontrast,us-south-1,us-south-1,0,100000,0,,,"{'corecontrast@POST@/singlecore': 0.078340559948566, 'intercept': 1}",0,corecontrast@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/multicore#us-south-1#start', 'corecontrast@POST@/multicore#us-south-1#end')",corecontrast,us-south-1,us-south-1,0,100000,0,,,"{'corecontrast@POST@/multicore': 0.0015913631904008, 'intercept': 1}",0,corecontrast@POST@/multicore,POST,/multicore
"('sslateingress@POST@/multicore#us-west-1#start', 'sslateingress@POST@/multicore#us-west-1#end')",sslateingress,us-west-1,us-west-1,0,100000,0,,,"{'sslateingress@POST@/multicore': 1.8545858800198172e-06, 'intercept': 3.115396051809149}",0,sslateingress@POST@/multicore,POST,/multicore
"('sslateingress@POST@/singlecore#us-west-1#start', 'sslateingress@POST@/singlecore#us-west-1#end')",sslateingress,us-west-1,us-west-1,0,100000,0,,,"{'sslateingress@POST@/singlecore': 0.0001776010064601, 'intercept': 1.82261443113976}",0,sslateingress@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/singlecore#us-west-1#start', 'corecontrast@POST@/singlecore#us-west-1#end')",corecontrast,us-west-1,us-west-1,0,100000,0,,,"{'corecontrast@POST@/singlecore': 0.078340559948566, 'intercept': 1}",0,corecontrast@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/multicore#us-west-1#start', 'corecontrast@POST@/multicore#us-west-1#end')",corecontrast,us-west-1,us-west-1,0,100000,0,,,"{'corecontrast@POST@/multicore': 0.0015913631904008, 'intercept': 1}",0,corecontrast@POST@/multicore,POST,/multicore
"('corecontrast@POST@/singlecore#us-east-1#start', 'corecontrast@POST@/singlecore#us-east-1#end')",corecontrast,us-east-1,us-east-1,0,100000,0,,,"{'corecontrast@POST@/singlecore': 0.078340559948566, 'intercept': 1}",0,corecontrast@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/multicore#us-east-1#start', 'corecontrast@POST@/multicore#us-east-1#end')",corecontrast,us-east-1,us-east-1,0,100000,0,,,"{'corecontrast@POST@/multicore': 0.0015913631904008, 'intercept': 1}",0,corecontrast@POST@/multicore,POST,/multicore
"('sslateingress@POST@/multicore#us-east-1#start', 'sslateingress@POST@/multicore#us-east-1#end')",sslateingress,us-east-1,us-east-1,0,100000,0,,,"{'sslateingress@POST@/multicore': 1.8545858800198172e-06, 'intercept': 3.115396051809149}",0,sslateingress@POST@/multicore,POST,/multicore
"('sslateingress@POST@/singlecore#us-east-1#start', 'sslateingress@POST@/singlecore#us-east-1#end')",sslateingress,us-east-1,us-east-1,0,100000,0,,,"{'sslateingress@POST@/singlecore': 0.0001776010064601, 'intercept': 1.82261443113976}",0,sslateingress@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/singlecore#us-central-1#start', 'corecontrast@POST@/singlecore#us-central-1#end')",corecontrast,us-central-1,us-central-1,0,100000,0,,,"{'corecontrast@POST@/singlecore': 0.078340559948566, 'intercept': 1}",0,corecontrast@POST@/singlecore,POST,/singlecore
"('corecontrast@POST@/multicore#us-central-1#start', 'corecontrast@POST@/multicore#us-central-1#end')",corecontrast,us-central-1,us-central-1,0,100000,0,,,"{'corecontrast@POST@/multicore': 0.0015913631904008, 'intercept': 1}",0,corecontrast@POST@/multicore,POST,/multicore
"('sslateingress@POST@/multicore#us-central-1#start', 'sslateingress@POST@/multicore#us-central-1#end')",sslateingress,us-central-1,us-central-1,0,100000,0,,,"{'sslateingress@POST@/multicore': 1.8545858800198172e-06, 'intercept': 3.115396051809149}",0,sslateingress@POST@/multicore,POST,/multicore
"('sslateingress@POST@/singlecore#us-central-1#start', 'sslateingress@POST@/singlecore#us-central-1#end')",sslateingress,us-central-1,us-central-1,0,100000,0,,,"{'sslateingress@POST@/singlecore': 0.0001776010064601, 'intercept': 1.82261443113976}",0,sslateingress@POST@/singlecore,POST,/singlecore
