,Unnamed: 0,west_rps,east_rps,central_rps,south_rps,request_type,duration,total_rps
0,0,100,100,100,100,checkoutcart,60,200
1,1,402,256,102,780,checkoutcart,60,1540
2,2,950,1036,356,798,checkoutcart,60,3140
3,3,598,198,444,256,checkoutcart,60,1496
4,4,780,756,84,200,checkoutcart,60,1820
5,5,1424,402,132,950,checkoutcart,60,2908
6,6,1862,402,132,950,checkoutcart,60,2908
7,7,1206,768,306,2340,checkoutcart,300,4620
8,8,1170,1434,72,1434,checkoutcart,300,4110
9,9,1386,2850,1302,1170,checkoutcart,300,6708
10,10,1574,1716,590,1322,checkoutcart,300,5202
11,11,594,1302,1434,822,checkoutcart,300,4152
12,12,1698,822,3108,420,checkoutcart,300,6048
13,13,1794,594,1332,768,checkoutcart,300,4488
14,14,2340,2268,252,600,checkoutcart,300,5460
15,15,612,1353,1807,2476,checkoutcart,300,6248
16,16,1518,1518,822,72,checkoutcart,300,3930
17,17,384,1332,384,2268,checkoutcart,300,4368
18,18,252,1320,1794,252,checkoutcart,300,3618
19,19,2750,776,255,1835,checkoutcart,300,5616
20,20,1302,420,1320,252,checkoutcart,300,3294
21,21,1332,252,2850,396,checkoutcart,300,4830
